rank,title,BGG_rating,avg_rating,list_price,amazon_price,year,game_id
408,Bruxelles 1893,7.036,7.62,,,2013,144592
409,London (Second Edition),7.034,7.52,61.93,58.08,2017,236191
410,Azul: Stained Glass of Sintra,7.034,7.32,39.99,34.98,2018,256226
411,Tiny Towns,7.033,7.24,42.99,37.62,2019,265736
412,Arkham Horror,7.033,7.24,,200.0,2005,15987
413,San Juan (Second Edition),7.031,7.46,,29.99,2014,166669
414,Unmatched: Robin Hood vs. Bigfoot,7.027,7.94,,,2019,274638
415,Dice Forge,7.027,7.23,47.82,44.99,2017,194594
416,Civilization,7.026,7.5,,,1980,71
417,Codenames: Pictures,7.023,7.2,,24.99,2016,198773
418,Skull,7.021,7.2,,,2011,92415
419,Blitzkrieg!: World War Two in 20 Minutes,7.021,7.62,,,2019,258210
420,Sherlock Holmes Consulting Detective: Jack the Ripper & West End Adventures,7.02,7.61,57.99,46.39,2016,204305
421,Nippon,7.02,7.65,,,2015,154809
422,Sprawlopolis,7.019,7.35,,,2018,251658
423,Turing Machine,7.019,7.79,,39.95,2022,356123
424,Firefly: The Game,7.018,7.39,85.31,79.99,2013,138161
425,Cat in the Box: Deluxe Edition,7.017,7.64,29.95,19.99,2022,345972
426,Sword & Sorcery,7.016,7.91,79.99,63.99,2017,170771
427,Space Hulk (Third Edition),7.016,7.53,,834.04,2009,54625
428,Santa Maria,7.015,7.48,,58.99,2017,229220
429,Clash of Cultures,7.015,7.58,,,2012,40765
430,Spartacus: A Game of Blood and Treachery,7.012,7.46,,130.0,2012,128671
431,Cubitos,7.011,7.44,59.99,46.54,2021,298069
432,Stockpile,7.011,7.47,,,2015,161614
433,Macao,7.009,7.41,,179.95,2009,55670
434,King of Tokyo: Dark Edition,7.009,7.7,,79.9,2020,293141
435,Biblios,7.008,7.2,,77.59,2007,34219
436,ISS Vanguard,7.008,8.71,159.0,146.47,2022,325494
437,Fresco,7.008,7.26,89.99,80.95,2010,66188
438,Mythic Battles: Pantheon,7.007,8.34,,,2017,186751
439,Claustrophobia,7.006,7.48,,249.99,2009,36932
440,Dune,7.006,7.59,,,1979,121
441,Advanced Squad Leader,7.006,8.01,,,1985,243
442,Chess,7.004,7.19,19.95,16.4,1475,171
443,Thunderstone Quest,7.004,7.78,,,2018,215341
444,Wavelength,7.003,7.29,39.99,31.49,2019,262543
