rank,title,BGG_rating,avg_rating,list_price,amazon_price,year
115,Rising Sun,7.486,7.78,,99.99,2018
116,Aeon's End: War Eternal,7.483,8.29,,38.62,2017
117,Dominion,7.482,7.6,,38.07,2008
118,Vinhos: Deluxe Edition,7.471,8.11,,98.99,2016
119,Dwellings of Eldervale,7.471,8.2,,,2020
120,Age of Steam,7.47,7.84,,,2002
121,The Isle of Cats,7.468,7.73,,34.99,2019
122,Clank! In! Space!: A Deck-Building Adventure,7.468,7.8,,55.92,2017
123,The Quest for El Dorado,7.465,7.67,,39.99,2017
124,Pandemic: Iberia,7.464,7.89,,44.75,2016
125,Hansa Teutonica,7.464,7.73,,49.99,2009
126,Codenames,7.459,7.55,,12.39,2015
127,Yokohama,7.458,7.82,,,2016
128,Forbidden Stars,7.458,7.98,,,2015
129,Champions of Midgard,7.456,7.73,,54.99,2015
130,Roll for the Galaxy,7.45,7.6,,51.07,2014
131,PARKS,7.449,7.68,,49.99,2019
132,Cartographers,7.444,7.63,,18.74,2019
133,Oathsworn: Into the Deepwood,7.442,9.09,,649.99,2022
134,Pandemic,7.439,7.54,,29.99,2008
135,Res Arcana,7.434,7.67,,31.98,2019
136,Targi,7.429,7.62,,19.95,2012
137,Watergate,7.425,7.79,,28.99,2019
138,Alchemists,7.424,7.65,,59.95,2014
139,Rajas of the Ganges,7.423,7.73,,45.45,2017
140,Just One,7.422,7.6,,16.61,2018
141,Star Realms,7.421,7.56,,14.99,2014
142,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.421,7.65,,57.99,1982
143,Kemet,7.421,7.66,,,2012
144,It's a Wonderful World,7.42,7.7,,44.77,2019
145,Praga Caput Regni,7.419,7.94,,54.23,2020
146,Endeavor: Age of Sail,7.418,7.9,,127.93,2018
147,Ra,7.415,7.58,,49.99,1999
148,SCOUT,7.415,7.8,,23.0,2019
149,Hadrian's Wall,7.413,8.02,,52.43,2021
150,Stone Age,7.41,7.53,,49.95,2008
151,Legendary Encounters: An Alien Deck Building Game,7.409,7.76,,,2014
152,Ticket to Ride: Europe,7.408,7.53,,34.5,2005
153,Terraforming Mars: Ares Expedition,7.403,7.7,,33.94,2021
154,The Lord of the Rings: The Card Game,7.401,7.66,,39.49,2011
155,Marco Polo II: In the Service of the Khan,7.4,7.98,,,2019
156,Star Wars: X-Wing Miniatures Game,7.399,7.64,,49.95,2012
157,Magic: The Gathering,7.397,7.57,,76.99,1993
158,Viscounts of the West Kingdom,7.396,7.87,,59.95,2020
159,Tyrants of the Underdark,7.394,7.91,,37.5,2016
160,Istanbul,7.394,7.55,,77.0,2014
161,Glen More II: Chronicles,7.393,7.92,,84.99,2019
162,Undaunted: Normandy,7.391,7.81,,48.0,2019
163,Xia: Legends of a Drift System,7.39,7.87,,,2014
164,That's Pretty Clever!,7.39,7.58,,20.99,2018
165,Welcome To...,7.39,7.55,,34.95,2018
166,War Chest,7.384,7.87,,46.31,2018
167,Splendor Duel,7.376,7.98,,29.99,2022
168,Jaipur,7.376,7.49,,19.99,2009
169,Chaos in the Old World,7.373,7.66,,,2009
170,Radlands,7.373,7.9,,49.99,2021
171,War of the Ring,7.37,7.77,,79.81,2004
172,Dominion (Second Edition),7.365,7.85,,38.07,2016
173,Descent: Journeys in the Dark (Second Edition),7.359,7.62,,199.95,2012
174,This War of Mine: The Board Game,7.358,7.78,,69.94,2017
175,Azul: Summer Pavilion,7.356,7.65,,35.61,2019
176,Memoir '44,7.354,7.54,,,2004
177,Nemesis: Lockdown,7.353,8.38,,148.17,2022
178,Unmatched: Cobble & Fog,7.353,8.01,,39.95,2020
179,Final Girl,7.351,8.36,,20.16,2021
180,Horrified,7.349,7.67,,39.99,2019
181,Cosmic Encounter,7.346,7.53,,55.99,2008
182,Too Many Bones: Undertow,7.345,8.69,,99.95,2018
183,Railways of the World,7.344,7.67,,149.99,2005
184,Wingspan Asia,7.341,8.36,,43.95,2022
185,Castles of Mad King Ludwig,7.34,7.52,,49.99,2014
186,The Resistance: Avalon,7.339,7.52,,19.99,2012
187,Sagrada,7.338,7.48,,44.95,2017
188,Sekigahara: The Unification of Japan,7.337,8.0,,68.01,2011
189,Dune,7.333,7.96,,54.3,2019
190,The Red Cathedral,7.333,7.74,,34.44,2020
191,Ora et Labora,7.332,7.69,,69.99,2011
192,A Game of Thrones: The Board Game (Second Edition),7.328,7.54,,51.96,2011
193,Ticket to Ride: Nordic Countries,7.327,7.63,,94.99,2007
194,Revive,7.321,8.18,,,2022
195,Star Wars: Outer Rim,7.321,7.73,,60.99,2019
196,Dead of Winter: A Crossroads Game,7.32,7.48,,37.99,2014
197,Commands & Colors: Ancients,7.319,7.77,,58.77,2006
198,Suburbia,7.319,7.48,,69.95,2012
199,Captain Sonar,7.316,7.52,,64.44,2016
200,Space Base,7.316,7.55,,36.01,2018
201,Go  (-,7.313,7.65,,29.44,-2200
202,Meadow,7.313,7.77,,43.99,2021
203,Village,7.313,7.5,,159.99,2011
204,Earth,7.31,7.75,,41.29,2023
205,Paleo,7.307,7.72,,63.99,2020
206,Clank!: Catacombs,7.306,8.33,,54.95,2022
207,Welcome to the Moon,7.304,8.01,,45.95,2021
208,Splendor,7.302,7.42,,22.61,2014
209,Tichu,7.3,7.58,,12.68,1991
210,Modern Art,7.299,7.49,,,1992
211,Star Realms: Colony Wars,7.298,7.81,,17.95,2015
212,Carcassonne,7.297,7.41,,22.67,2000
213,Coimbra,7.297,7.63,,47.37,2018
214,Near and Far,7.295,7.69,,59.6,2017
215,Planet Unknown,7.295,7.94,,129.99,2022
216,Combat Commander: Europe,7.295,7.95,,,2006
217,Dinosaur Island,7.295,7.59,,52.47,2017
218,Ankh: Gods of Egypt,7.294,7.83,,65.3,2021
219,Under Falling Skies,7.293,7.69,,28.75,2020
220,Nations,7.293,7.61,,115.99,2013
221,Calico,7.291,7.56,,,2020
222,Nidavellir,7.291,7.61,,39.99,2020
223,Paths of Glory,7.29,8.05,,54.99,1999
224,Darwin's Journey,7.289,8.21,,,2023
225,Wonderland's War,7.286,8.14,,,2022
226,YINSH,7.284,7.71,,35.0,2003
227,My City,7.283,7.68,,32.99,2020
228,Ticket to Ride,7.28,7.4,,43.97,2004
229,Cyclades,7.278,7.51,,68.99,2009
230,Hegemony: Lead Your Class to Victory,7.278,8.52,,324.99,2023
231,La Granja,7.272,7.61,,,2014
232,Codenames: Duet,7.272,7.45,,24.95,2017
233,Aeon's End: Legacy,7.271,8.07,,100.0,2019
234,Secret Hitler,7.268,7.51,,40.0,2016
235,The Taverns of Tiefenthal,7.262,7.58,,61.37,2019
236,Legendary: A Marvel Deck Building Game,7.262,7.54,,59.98,2012
237,Deception: Murder in Hong Kong,7.259,7.46,,31.89,2014
238,Century: Golem Edition,7.259,7.61,,39.99,2017
239,Hanamikoji,7.259,7.5,,,2013
240,MicroMacro: Crime City,7.256,7.53,,43.45,2020
241,Zombicide: Black Plague,7.256,7.62,,87.99,2015
242,Roll Player,7.251,7.46,,52.82,2016
243,The Princes of Florence,7.248,7.51,,65.0,2000
244,Sushi Go Party!,7.247,7.4,,19.98,2016
245,Kanban: Driver's Edition,7.247,7.79,,,2014
246,Flamme Rouge,7.246,7.5,,62.99,2016
247,Fantasy Realms,7.245,7.53,,25.95,2017
248,"Unmatched: Battle of Legends, Volume One",7.244,7.76,,,2019
249,Detective: A Modern Crime Board Game,7.239,7.68,,27.43,2018
250,Goa: A New Expedition,7.239,7.56,,,2004
251,Santorini,7.238,7.38,,,2016
252,KLASK,7.238,7.63,,59.99,2014
253,Isle of Skye: From Chieftain to King,7.237,7.4,,44.99,2015
